cnic,name,name_clean,canonical_cnic,cluster_id
35208-9774942-8,Waqas Iqbal,waqas iqbal,35201-9494571-2,101
35203-5051066-5,Abdullah Dar,abdullah dar,35203-5051066-5,321
35208-1140330-9,Shahzaib Bajwa,shahzaib bajwa,35208-1140330-9,190
35205-5088197-1,Osman Mahmood,osman mahmood,35205-5088197-1,205
35202-8082315-5,Shahzaib Ali,shahzaib ali,35202-8082315-5,186
35203-3233930-2,Ahmed Dar,ahmed dar,35203-3233930-2,15
35203-3586812-2,Tariq Nawaz,tariq nawaz,35203-3586812-2,146
35206-8186650-9,Ahmed Raza,ahmed raza,35206-8186650-9,351
35203-8522506-2,Tariq Mehmood,tariq mehmood,35203-8522506-2,339
35208-8890204-2,Abdullah Nawaz,abdullah nawaz,35208-8890204-2,70
35209-1684258-1,Muhammad Qureshi,muhammad qureshi,35204-9570062-8,328
35202-4956013-5,Bilal Dar,bilal dar,35207-4040640-6,39
35203-6159752-4,Osman Nawaz,osman nawaz,35203-6159752-4,213
35207-8699103-2,Ahmed Khan,ahmed khan,35207-8699103-2,75
35201-4155593-6,Ahmed Mahmood,ahmed mahmood,35208-3401625-9,168
35203-5480898-4,Farhan Bajwa,farhan bajwa,35203-5480898-4,355
35209-6142929-9,Muhammad Bajwa,muhammad bajwa,35209-7624659-7,402
35203-9813478-5,Farhan Raza,farhan raza,35203-9813478-5,294
35207-9369557-8,Rizwan Bajwa,rizwan bajwa,35207-9369557-8,12
35201-3360361-7,Waqas Khan,waqas khan,35201-3360361-7,14
35206-7527305-4,Asad Sheikh,asad sheikh,35207-3401790-3,139
35201-1740865-8,Farhan Bajwa,farhan bajwa,35201-1740865-8,354
35206-4107751-4,Umar Mahmood,umar mahmood,35206-4107751-4,365
35204-7986815-8,Yasir Butt,yasir butt,35205-7324961-6,3
35203-5121743-2,Salman Khan,salman khan,35203-5121743-2,51
35201-4428264-1,Muhammad Sheikh,muhammad sheikh,35201-4428264-1,151
35203-3093485-1,Ali Dar,ali dar,35203-2594508-8,338
35205-7090667-7,Faisal Ali,faisal ali,35205-7090667-7,323
35203-8479903-7,Noman Malik,noman malik,35204-3632125-8,167
35207-5296902-4,Tariq Butt,tariq butt,35207-5296902-4,295
35206-8207570-8,Waqas Sheikh,waqas sheikh,35206-8207570-8,20
35205-6429838-2,Farhan Sheikh,farhan sheikh,35205-6429838-2,17
35207-2484470-1,Shahzaib Akhtar,shahzaib akhtar,35203-7748012-7,176
35207-5206819-5,Asad Khan,asad khan,35204-4003202-2,84
35201-8256069-9,Muhammad Malik,muhammad malik,35201-8256069-9,379
35201-9733020-4,Hamza Malik,hamza malik,35201-9733020-4,371
35203-3063764-9,Noman Akhtar,noman akhtar,35207-3018980-3,89
35201-4090492-6,Muhammad Akhtar,muhammad akhtar,35204-3689783-3,337
35203-4493036-3,Tariq Raza,tariq raza,35206-2395762-9,385
35202-8238482-2,Salman Malik,salman malik,35202-8238482-2,390
35206-3770697-9,Noman Raza,noman raza,35206-3770697-9,239
35202-1878215-1,Salman Malik,salman malik,35202-8238482-2,390
35207-2599468-1,Waqas Sheikh,waqas sheikh,35206-8207570-8,20
35201-7763261-9,Muhammad Sheikh,muhammad sheikh,35201-4428264-1,151
35206-7774990-9,Zain Ahmed,zain ahmed,35201-3769792-1,173
35207-2585891-9,Umar Iqbal,umar iqbal,35201-5487584-5,315
35203-8101038-5,Asad Sheikh,asad sheikh,35204-2837431-8,140
35201-9158560-1,Rizwan Iqbal,rizwan iqbal,35201-9158560-1,237
35203-3197851-5,Yasir Malik,yasir malik,35205-6122104-7,276
35207-8972836-2,Zain Mehmood,zain mehmood,35208-7855114-2,233
35205-9187591-8,Faisal Ahmed,faisal ahmed,35205-9187591-8,112
35206-2564247-7,Zain Raza,zain raza,35206-2564247-7,412
35201-3276739-7,Yasir Nawaz,yasir nawaz,35201-3276739-7,82
35208-6427245-9,Osman Malik,osman malik,35208-6427245-9,217
35204-1406782-8,Ali Khan,ali khan,35204-1406782-8,74
35208-6271014-3,Bilal Bajwa,bilal bajwa,35208-6271014-3,406
35203-6017090-6,Hamza Nawaz,hamza nawaz,35203-6017090-6,347
35208-4934243-4,Muhammad Nawaz,muhammad nawaz,35208-4934243-4,234
35205-9657414-4,Zain Akhtar,zain akhtar,35205-9657414-4,229
35208-4486699-4,Muhammad Bajwa,muhammad bajwa,35209-7624659-7,402
35207-4616295-8,Umar Sheikh,umar sheikh,35207-4616295-8,141
35202-2665736-9,Rizwan Dar,rizwan dar,35202-2665736-9,240
35209-3339667-3,Hamza Raza,hamza raza,35201-9740315-5,349
35203-8625804-4,Ali Ahmed,ali ahmed,35203-8625804-4,40
35208-2631798-4,Umar Bajwa,umar bajwa,35208-2631798-4,410
35205-9385586-6,Rizwan Zafar,rizwan zafar,35205-9385586-6,260
35205-5466135-4,Farhan Zafar,farhan zafar,35205-5466135-4,175
35203-6149642-3,Faisal Akhtar,faisal akhtar,35207-7367584-3,303
35202-3386491-3,Abdullah Nawaz,abdullah nawaz,35208-8890204-2,70
35201-3660134-5,Umar Bajwa,umar bajwa,35208-2631798-4,410
35209-8446223-6,Rizwan Dar,rizwan dar,35202-2665736-9,240
35207-5692995-7,Bilal Malik,bilal malik,35207-5692995-7,235
35204-2035940-6,Bilal Bajwa,bilal bajwa,35208-6271014-3,406
35208-9103159-6,Noman Qureshi,noman qureshi,35208-9103159-6,50
35205-8137316-9,Yasir Khan,yasir khan,35205-8137316-9,11
35205-4335027-9,Tariq Khan,tariq khan,35205-4335027-9,56
35206-6793918-2,Rizwan Qureshi,rizwan qureshi,35207-8797937-4,177
35209-1506782-3,Rizwan Bajwa,rizwan bajwa,35207-9369557-8,12
35207-4976742-2,Asad Sheikh,asad sheikh,35204-2837431-8,140
35209-3854630-9,Waqas Khan,waqas khan,35201-3360361-7,14
35203-4289032-6,Muhammad Raza,muhammad raza,35203-4289032-6,400
35203-6288847-4,Muhammad Iqbal,muhammad iqbal,35203-6288847-4,336
35202-9870940-9,Tariq Akhtar,tariq akhtar,35202-9870940-9,120
35204-6022444-5,Shahzaib Qureshi,shahzaib qureshi,35204-6022444-5,166
35202-1836884-5,Asad Raza,asad raza,35202-1836884-5,391
35201-8333828-5,Noman Akhtar,noman akhtar,35207-3018980-3,89
35209-9104439-7,Farhan Sheikh,farhan sheikh,35205-6429838-2,17
35206-6168773-7,Muhammad Khan,muhammad khan,35206-6168773-7,330
35208-8981109-8,Salman Malik,salman malik,35202-8238482-2,390
35209-1649789-1,Abdullah Akhtar,abdullah akhtar,35208-1010297-9,227
35205-1401896-9,Osman Dar,osman dar,35205-1401896-9,219
35207-8567374-2,Shahzaib Iqbal,shahzaib iqbal,35207-8567374-2,171
35209-6809581-1,Bilal Dar,bilal dar,35207-4040640-6,39
35201-7638352-7,Zain Akhtar,zain akhtar,35205-9657414-4,229
35205-8867320-5,Hamza Iqbal,hamza iqbal,35205-8867320-5,115
35203-8576250-5,Yasir Malik,yasir malik,35205-6122104-7,276
35209-3828295-5,Noman Raza,noman raza,35206-3770697-9,239
35201-4183833-7,Osman Iqbal,osman iqbal,35201-4183833-7,198
35208-4987886-5,Osman Bajwa,osman bajwa,35208-4987886-5,207
35209-7592373-5,Yasir Iqbal,yasir iqbal,35209-7592373-5,63
35204-9030023-9,Salman Bajwa,salman bajwa,35204-9030023-9,245
35206-4088843-6,Umar Qureshi,umar qureshi,35206-4088843-6,286
35208-8521980-3,Faisal Sheikh,faisal sheikh,35208-8521980-3,135
35209-7271629-7,Ali Ali,ali ali,35209-7271629-7,326
35202-7930637-2,Noman Qureshi,noman qureshi,35208-9103159-6,50
35208-7096724-4,Osman Malik,osman malik,35208-6427245-9,217
35209-5667519-4,Ahmed Malik,ahmed malik,35209-5667519-4,278
35201-7415507-3,Shahzaib Zafar,shahzaib zafar,35201-7415507-3,159
35204-1563237-5,Noman Qureshi,noman qureshi,35208-9103159-6,50
35204-4042073-7,Ahmed Ali,ahmed ali,35204-4042073-7,41
35205-8943748-9,Shahzaib Bajwa,shahzaib bajwa,35208-1140330-9,190
35203-3482144-2,Junaid Qureshi,junaid qureshi,35209-6933509-7,129
35201-1258486-2,Tariq Malik,tariq malik,35201-1258486-2,398
35204-6457798-1,Ahmed Iqbal,ahmed iqbal,35204-6457798-1,297
35206-7023799-2,Zain Ahmed,zain ahmed,35201-3769792-1,173
35201-3054431-1,Waqas Zafar,waqas zafar,35201-3054431-1,78
35208-2317029-9,Hamza Ahmed,hamza ahmed,35203-9219582-3,61
35205-2037668-7,Tariq Raza,tariq raza,35206-2395762-9,385
35209-6027180-2,Shahzaib Khan,shahzaib khan,35209-6027180-2,147
35207-7817208-3,Rizwan Dar,rizwan dar,35202-2665736-9,240
35205-2942808-9,Zain Khan,zain khan,35205-2942808-9,68
35206-4928103-6,Osman Raza,osman raza,35206-4928103-6,218
35201-7216145-3,Asad Mahmood,asad mahmood,35201-4857509-1,360
35208-2908852-6,Ahmed Bajwa,ahmed bajwa,35208-2908852-6,312
35204-6796576-6,Yasir Malik,yasir malik,35205-6122104-7,276
35206-1947319-4,Shahzaib Mahmood,shahzaib mahmood,35208-2802462-5,154
35204-8175253-2,Muhammad Akhtar,muhammad akhtar,35204-3689783-3,337
35204-3209258-4,Bilal Nawaz,bilal nawaz,35204-3209258-4,291
35201-6603825-1,Yasir Zafar,yasir zafar,35201-6603825-1,65
35209-8941906-4,Shahzaib Mehmood,shahzaib mehmood,35209-8941906-4,155
35207-4327264-4,Hamza Qureshi,hamza qureshi,35209-7924159-5,93
35203-1758501-5,Waqas Sheikh,waqas sheikh,35203-1758501-5,19
35202-3541317-4,Junaid Butt,junaid butt,35202-3541317-4,275
35207-2640925-8,Ahmed Malik,ahmed malik,35209-5667519-4,278
35206-2521735-7,Junaid Dar,junaid dar,35202-7472399-8,265
35203-4686170-8,Bilal Ali,bilal ali,35203-4686170-8,376
35206-9451423-5,Farhan Butt,farhan butt,35206-9451423-5,5
35205-7104501-2,Tariq Akhtar,tariq akhtar,35205-7104501-2,119
35206-8514269-9,Abdullah Ali,abdullah ali,35206-8514269-9,285
35205-4406743-4,Abdullah Iqbal,abdullah iqbal,35206-4060005-8,172
35205-2538955-2,Muhammad Qureshi,muhammad qureshi,35204-9570062-8,328
35207-5098553-8,Junaid Khan,junaid khan,35205-3521740-7,180
35206-4115315-5,Farhan Nawaz,farhan nawaz,35206-4115315-5,45
35202-1603685-2,Abdullah Bajwa,abdullah bajwa,35202-1603685-2,320
35204-5154613-9,Asad Ahmed,asad ahmed,35204-5154613-9,106
35208-8208559-7,Shahzaib Iqbal,shahzaib iqbal,35207-8567374-2,171
35202-2627452-2,Muhammad Butt,muhammad butt,35202-2627452-2,408
35206-1719143-5,Salman Raza,salman raza,35204-7376421-9,272
35203-8320207-9,Junaid Dar,junaid dar,35202-7472399-8,265
35204-9260120-4,Umar Iqbal,umar iqbal,35201-5487584-5,315
35203-5172791-1,Ali Mehmood,ali mehmood,35208-8588481-6,341
35203-6422059-4,Junaid Iqbal,junaid iqbal,35203-6422059-4,246
35201-9398790-7,Muhammad Akhtar,muhammad akhtar,35204-3689783-3,337
35208-5213977-2,Abdullah Raza,abdullah raza,35208-5213977-2,317
35209-7317957-9,Noman Mehmood,noman mehmood,35209-7317957-9,223
35206-2001367-1,Farhan Ahmed,farhan ahmed,35206-2001367-1,37
35205-9449314-1,Tariq Akhtar,tariq akhtar,35205-7104501-2,119
35208-6562251-1,Ahmed Qureshi,ahmed qureshi,35208-6562251-1,211
35207-2682131-3,Asad Khan,asad khan,35204-4003202-2,84
35205-5975025-3,Waqas Mahmood,waqas mahmood,35206-2192140-4,69
35207-6112795-3,Asad Iqbal,asad iqbal,35207-6112795-3,309
35206-5686190-1,Tariq Iqbal,tariq iqbal,35206-5686190-1,367
35202-4257575-4,Zain Bajwa,zain bajwa,35202-4257575-4,411
35202-9886078-2,Abdullah Khan,abdullah khan,35206-6701042-4,86
35207-1907126-6,Farhan Bajwa,farhan bajwa,35203-5480898-4,355
35208-5918343-3,Abdullah Ali,abdullah ali,35206-8514269-9,285
35205-3112594-8,Yasir Mehmood,yasir mehmood,35205-3112594-8,156
35207-6199281-8,Farhan Ali,farhan ali,35207-6199281-8,33
35201-1184618-1,Osman Malik,osman malik,35208-6427245-9,217
35204-1964404-4,Zain Zafar,zain zafar,35204-1964404-4,182
35201-8142553-4,Faisal Mahmood,faisal mahmood,35201-8142553-4,327
35209-2317166-3,Umar Qureshi,umar qureshi,35209-2317166-3,287
35204-4598915-8,Noman Sheikh,noman sheikh,35204-4598915-8,53
35202-7540942-4,Muhammad Bajwa,muhammad bajwa,35209-7624659-7,402
35202-1438610-6,Zain Khan,zain khan,35205-2942808-9,68
35208-7581266-5,Abdullah Khan,abdullah khan,35208-7581266-5,85
35201-6617448-9,Ali Raza,ali raza,35201-6617448-9,375
35202-4880446-2,Farhan Iqbal,farhan iqbal,35204-4411580-9,30
35205-1070639-5,Faisal Nawaz,faisal nawaz,35205-1070639-5,254
35207-9167737-1,Noman Zafar,noman zafar,35207-9167737-1,183
35208-3697834-6,Rizwan Nawaz,rizwan nawaz,35208-3697834-6,262
35206-7633171-9,Rizwan Dar,rizwan dar,35202-2665736-9,240
35203-1024944-4,Osman Akhtar,osman akhtar,35203-1024944-4,200
35203-1323018-4,Hamza Iqbal,hamza iqbal,35205-8867320-5,115
35205-1267120-8,Zain Butt,zain butt,35205-1267120-8,64
35207-2786915-6,Osman Akhtar,osman akhtar,35203-1024944-4,200
35208-4589865-6,Rizwan Zafar,rizwan zafar,35208-4589865-6,259
35204-2051224-8,Ali Iqbal,ali iqbal,35206-9182416-4,310
35201-6581662-3,Ahmed Ali,ahmed ali,35204-4042073-7,41
35204-3848141-7,Rizwan Ali,rizwan ali,35204-3848141-7,253
35205-4994849-6,Osman Sheikh,osman sheikh,35205-4994849-6,126
35201-9997198-6,Junaid Malik,junaid malik,35201-9997198-6,273
35203-2568333-4,Rizwan Nawaz,rizwan nawaz,35208-3697834-6,262
35208-4379645-6,Hamza Mahmood,hamza mahmood,35205-9444088-5,322
35202-7252325-6,Asad Nawaz,asad nawaz,35205-2013312-8,102
35204-6734238-2,Junaid Mehmood,junaid mehmood,35204-6734238-2,283
35206-3014148-9,Rizwan Khan,rizwan khan,35206-3014148-9,116
35206-2887586-1,Zain Mehmood,zain mehmood,35206-2887586-1,232
35201-8457609-2,Abdullah Ahmed,abdullah ahmed,35209-3777132-2,296
35205-2026759-1,Abdullah Ahmed,abdullah ahmed,35209-3777132-2,296
35205-4117546-7,Waqas Malik,waqas malik,35207-7476368-1,110
35203-5732805-7,Umar Ali,umar ali,35203-5732805-7,324
35204-1908576-7,Noman Sheikh,noman sheikh,35204-4598915-8,53
35207-8619562-9,Yasir Butt,yasir butt,35205-7324961-6,3
35207-1992050-5,Osman Ali,osman ali,35207-1992050-5,220
35204-9231036-5,Ahmed Khan,ahmed khan,35207-8699103-2,75
35204-4536424-8,Osman Nawaz,osman nawaz,35207-1793439-2,214
35209-2403492-6,Junaid Nawaz,junaid nawaz,35203-6885593-5,311
35208-1875286-9,Junaid Zafar,junaid zafar,35208-1875286-9,384
35209-5780663-3,Noman Raza,noman raza,35206-3770697-9,239
35204-7790996-9,Shahzaib Mahmood,shahzaib mahmood,35208-2802462-5,154
35202-8206296-7,Shahzaib Dar,shahzaib dar,35202-8206296-7,195
35202-7194379-2,Ahmed Dar,ahmed dar,35203-3233930-2,15
35207-6101602-3,Waqas Dar,waqas dar,35207-6101602-3,108
35202-6605593-7,Osman Ali,osman ali,35207-1992050-5,220
35204-9350438-2,Zain Khan,zain khan,35205-2942808-9,68
35209-5760426-5,Farhan Khan,farhan khan,35206-7451239-7,25
35202-9240499-7,Zain Dar,zain dar,35207-1772941-5,91
35202-9428336-6,Ali Malik,ali malik,35202-9428336-6,350
35201-8971941-2,Asad Bajwa,asad bajwa,35201-8971941-2,405
35207-5016049-4,Yasir Nawaz,yasir nawaz,35201-3276739-7,82
35204-6294940-4,Farhan Raza,farhan raza,35204-6294940-4,293
35202-1690408-8,Shahzaib Khan,shahzaib khan,35202-1690408-8,148
35204-6179040-9,Waqas Khan,waqas khan,35201-3360361-7,14
35202-3815185-7,Hamza Malik,hamza malik,35202-3815185-7,372
35202-8050462-2,Umar Nawaz,umar nawaz,35202-8050462-2,361
35205-6058034-4,Asad Mahmood,asad mahmood,35201-4857509-1,360
35201-7176937-8,Osman Sheikh,osman sheikh,35205-4994849-6,126
35203-2807356-9,Shahzaib Qureshi,shahzaib qureshi,35204-6022444-5,166
35209-4073082-9,Abdullah Butt,abdullah butt,35209-4073082-9,23
35207-1516448-2,Bilal Mehmood,bilal mehmood,35207-1516448-2,352
35203-4714467-7,Shahzaib Bajwa,shahzaib bajwa,35208-1140330-9,190
35209-9675983-3,Junaid Butt,junaid butt,35202-3541317-4,275
35202-9270980-3,Asad Dar,asad dar,35202-9270980-3,98
35205-6026350-8,Muhammad Mahmood,muhammad mahmood,35205-6026350-8,409
35209-6872147-4,Muhammad Sheikh,muhammad sheikh,35201-4428264-1,151
35209-7296549-6,Zain Iqbal,zain iqbal,35204-6385913-8,162
35201-1576975-2,Rizwan Ahmed,rizwan ahmed,35201-1576975-2,243
35207-2123175-7,Zain Khan,zain khan,35205-2942808-9,68
35202-9352805-4,Salman Ahmed,salman ahmed,35202-9352805-4,131
35203-4733647-2,Ali Akhtar,ali akhtar,35209-1166325-3,193
35207-8397903-1,Faisal Ahmed,faisal ahmed,35207-8397903-1,111
35205-6095280-3,Ali Zafar,ali zafar,35205-6095280-3,357
35207-1361308-3,Muhammad Sheikh,muhammad sheikh,35201-4428264-1,151
35205-4441982-5,Bilal Nawaz,bilal nawaz,35204-3209258-4,291
35209-4805830-5,Yasir Akhtar,yasir akhtar,35205-3463685-8,73
35208-7677237-7,Bilal Sheikh,bilal sheikh,35208-7677237-7,123
35203-4085601-9,Osman Nawaz,osman nawaz,35203-6159752-4,213
35209-6515109-2,Osman Akhtar,osman akhtar,35203-1024944-4,200
35202-7815352-2,Faisal Qureshi,faisal qureshi,35201-2138980-2,280
35204-4755706-6,Waqas Raza,waqas raza,35204-4755706-6,107
35204-4101434-7,Hamza Butt,hamza butt,35204-4101434-7,196
35205-9069454-8,Yasir Iqbal,yasir iqbal,35209-7592373-5,63
35209-4184485-5,Muhammad Dar,muhammad dar,35209-4184485-5,346
35208-6076062-1,Tariq Dar,tariq dar,35208-6076062-1,377
