cnic,full_name,city,vehicle_score,utility_score,property_score,travel_score,tax_gap_score,lifestyle_index,ml_anomaly_score,tax_deviation_score,flagged,audit_trail
35208-6562251-1,Ahmed Qureshi,Faisalabad,60,100,100,100,80,88.0,94.6226818205157,91.64,1,"Filer with declared annual income PKR 370,918 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 476,795 | Owns 4 property/properties (Total estimated value: PKR 380,346,396) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35207-6112795-3,Asad Iqbal,Lahore,100,100,100,100,80,96.0,87.98773722440504,91.59,1,"Filer with declared annual income PKR 321,096 | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 309,012 | Owns 4 property/properties (Total estimated value: PKR 307,085,696) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35206-4115315-5,Farhan Nawaz,Islamabad,60,100,100,100,80,88.0,94.16562794404761,91.39,1,"Filer with declared annual income PKR 325,304 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 201,471 | Owns 2 property/properties (Total estimated value: PKR 108,270,144) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 263 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-9570062-8,Muhammad Qureshi,Faisalabad,60,100,100,100,100,92.0,90.64333359763175,91.25,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 232,809 | Owns 2 property/properties (Total estimated value: PKR 228,717,678) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35204-2511230-1,Faisal Raza,Karachi,60,100,100,100,100,92.0,90.64333359763175,91.25,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 337,723 | Owns 3 property/properties (Total estimated value: PKR 440,797,567) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-5083037-9,Muhammad Raza,Lahore,60,100,100,100,100,92.0,90.64333359763175,91.25,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 158,604 | Owns 2 property/properties (Total estimated value: PKR 189,008,830) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-2908852-6,Ahmed Bajwa,Lahore,60,100,100,100,80,88.0,92.51883526851536,90.49,1,"Filer with declared annual income PKR 469,748 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 371,482 | Owns 2 property/properties (Total estimated value: PKR 122,111,215) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-6168773-7,Muhammad Khan,Faisalabad,100,100,100,100,80,96.0,85.89293716791747,90.44,1,"Filer with declared annual income PKR 356,956 | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 379,889 | Owns 3 property/properties (Total estimated value: PKR 222,269,330) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35203-1758501-5,Waqas Sheikh,Rawalpindi,100,100,100,100,80,96.0,85.63887246363542,90.3,1,"Filer with declared annual income PKR 246,421 | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 466,183 | Owns 4 property/properties (Total estimated value: PKR 427,031,305) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 8 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35201-3054431-1,Waqas Zafar,Multan,100,100,100,100,80,96.0,85.35474687121223,90.15,1,"Filer with declared annual income PKR 463,397 | Owns 5 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 231,581 | Owns 4 property/properties (Total estimated value: PKR 429,455,919) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35206-4037604-9,Ahmed Akhtar,Karachi,60,100,100,100,100,92.0,88.06492664783374,89.84,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 426,780 | Owns 2 property/properties (Total estimated value: PKR 269,149,170) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35201-4183833-7,Osman Iqbal,Islamabad,60,100,100,100,80,88.0,91.10876418108904,89.71,1,"Filer with declared annual income PKR 453,491 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 379,778 | Owns 4 property/properties (Total estimated value: PKR 327,670,886) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35207-4976742-2,Asad Sheikh,Lahore,60,100,100,100,80,88.0,90.68218846170608,89.48,1,"Filer with declared annual income PKR 375,111 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 411,722 | Owns 4 property/properties (Total estimated value: PKR 446,298,342) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35203-8320207-9,Junaid Dar,Islamabad,60,100,100,100,80,88.0,90.05718030387675,89.13,1,"Filer with declared annual income PKR 445,501 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 333,471 | Owns 3 property/properties (Total estimated value: PKR 321,007,427) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35207-9630424-7,Umar Akhtar,Lahore,100,100,100,100,100,100.0,79.41518271836954,88.68,1,"Non-Filer (No active tax filings recorded) | Owns 5 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 402,729 | Owns 2 property/properties (Total estimated value: PKR 145,015,303) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 263 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-4088843-6,Umar Qureshi,Faisalabad,60,100,100,100,80,88.0,88.90404199810595,88.5,1,"Filer with declared annual income PKR 467,358 | Owns 3 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 250,167 | Owns 2 property/properties (Total estimated value: PKR 175,071,235) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35207-3401790-3,Asad Sheikh,Multan,60,100,100,100,100,92.0,85.26242764136256,88.29,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 238,417 | Owns 4 property/properties (Total estimated value: PKR 323,362,432) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35201-6603825-1,Yasir Zafar,Islamabad,100,100,100,100,80,96.0,81.88664761257107,88.24,1,"Filer with declared annual income PKR 479,489 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 433,947 | Owns 3 property/properties (Total estimated value: PKR 306,400,607) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35209-9104439-7,Farhan Sheikh,Rawalpindi,100,100,100,100,80,96.0,81.88664761257107,88.24,1,"Filer with declared annual income PKR 276,304 | Owns 3 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 425,564 | Owns 3 property/properties (Total estimated value: PKR 189,256,804) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35204-3632125-8,Noman Malik,Faisalabad,60,100,100,100,100,92.0,85.09209384950604,88.2,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 215,020 | Owns 3 property/properties (Total estimated value: PKR 233,215,843) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-2594763-3,Ahmed Mahmood,Multan,100,100,100,100,100,100.0,78.53822197239413,88.2,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 284,074 | Owns 2 property/properties (Total estimated value: PKR 180,935,193) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 263 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35202-4257575-4,Zain Bajwa,Faisalabad,60,100,100,100,80,88.0,88.2461416370512,88.14,1,"Filer with declared annual income PKR 344,122 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 205,106 | Owns 3 property/properties (Total estimated value: PKR 264,293,790) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-9444088-5,Hamza Mahmood,Islamabad,100,100,100,100,100,100.0,78.15582753712445,87.99,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 332,046 | Owns 3 property/properties (Total estimated value: PKR 337,562,830) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35208-4930536-1,Yasir Mehmood,Rawalpindi,60,100,100,100,100,92.0,84.53790396202685,87.9,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 432,962 | Owns 4 property/properties (Total estimated value: PKR 266,771,262) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 5 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35205-9612243-8,Ahmed Butt,Karachi,60,100,100,100,100,92.0,84.5261390859394,87.89,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 482,299 | Owns 3 property/properties (Total estimated value: PKR 230,100,855) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35207-7367584-3,Faisal Akhtar,Islamabad,60,100,100,100,100,92.0,84.5261390859394,87.89,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 248,716 | Owns 3 property/properties (Total estimated value: PKR 296,889,654) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35201-4428264-1,Muhammad Sheikh,Islamabad,60,100,100,100,100,92.0,84.1866062179586,87.7,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 291,493 | Owns 2 property/properties (Total estimated value: PKR 92,672,654) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35208-1668322-8,Zain Iqbal,Multan,60,100,100,100,100,92.0,84.1866062179586,87.7,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 204,377 | Owns 4 property/properties (Total estimated value: PKR 238,497,919) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35207-9369557-8,Rizwan Bajwa,Rawalpindi,60,100,100,100,100,92.0,84.1866062179586,87.7,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 339,903 | Owns 3 property/properties (Total estimated value: PKR 228,486,200) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35201-4090492-6,Muhammad Akhtar,Multan,60,100,100,100,100,92.0,84.1866062179586,87.7,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 476,933 | Owns 2 property/properties (Total estimated value: PKR 126,694,767) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 2 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35209-1506782-3,Rizwan Bajwa,Multan,100,100,100,100,80,96.0,80.65240863936573,87.56,1,"Filer with declared annual income PKR 447,629 | Owns 3 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 244,051 | Owns 3 property/properties (Total estimated value: PKR 299,605,152) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35206-8514269-9,Abdullah Ali,Faisalabad,100,100,100,100,80,96.0,80.28587712189507,87.36,1,"Filer with declared annual income PKR 429,583 | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 214,359 | Owns 4 property/properties (Total estimated value: PKR 391,344,341) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 7 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-4003202-2,Asad Khan,Islamabad,60,100,100,100,100,92.0,83.55237065068597,87.35,1,"Non-Filer (No active tax filings recorded) | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 150,269 | Owns 2 property/properties (Total estimated value: PKR 187,344,175) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-9451423-5,Farhan Butt,Multan,100,100,100,100,80,96.0,80.09732649982017,87.25,1,"Filer with declared annual income PKR 357,089 | Owns 2 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 424,043 | Owns 2 property/properties (Total estimated value: PKR 175,779,910) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 79 unregistered non-filers"
35203-4289032-6,Muhammad Raza,Islamabad,100,100,100,100,80,96.0,79.77621822821139,87.08,1,"Filer with declared annual income PKR 351,354 | Owns 1 vehicle(s) (Max engine CC: 2000cc) | Monthly utility consumption: Max bill PKR 288,404 | Owns 4 property/properties (Total estimated value: PKR 241,765,331) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 276 other individuals | Community Risk: Shares property space with 80 unregistered non-filers"
35202-3541317-4,Junaid Butt,Rawalpindi,100,100,100,100,80,96.0,79.7300748405579,87.05,1,"Filer with declared annual income PKR 387,886 | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 277,519 | Owns 3 property/properties (Total estimated value: PKR 364,948,718) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 6 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35208-9103159-6,Noman Qureshi,Lahore,100,100,100,100,80,96.0,79.6134323572444,86.99,1,"Filer with declared annual income PKR 385,169 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 264,205 | Owns 2 property/properties (Total estimated value: PKR 139,332,228) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 263 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35203-2954014-5,Hamza Mehmood,Faisalabad,100,100,100,100,100,100.0,76.27756970872298,86.95,1,"Non-Filer (No active tax filings recorded) | Owns 4 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 227,646 | Owns 3 property/properties (Total estimated value: PKR 193,380,284) | International travels logged: 1 flight(s) (1 Business/First class) | Network Risk: Shares registered address with 265 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35206-2395762-9,Tariq Raza,Islamabad,60,100,100,100,100,92.0,82.7975904705026,86.94,1,"Non-Filer (No active tax filings recorded) | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 210,554 | Owns 3 property/properties (Total estimated value: PKR 417,248,657) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 90 unregistered non-filers"
35204-8175253-2,Muhammad Akhtar,Rawalpindi,100,100,100,100,80,96.0,79.47732327182489,86.91,1,"Filer with declared annual income PKR 472,521 | Owns 2 vehicle(s) (Max engine CC: 4600cc) | Monthly utility consumption: Max bill PKR 200,354 | Owns 2 property/properties (Total estimated value: PKR 151,811,765) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 1 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 270 other individuals | Community Risk: Shares property space with 78 unregistered non-filers"
35207-5098553-8,Junaid Khan,Faisalabad,60,100,100,100,80,88.0,85.87283893233065,86.83,1,"Filer with declared annual income PKR 314,101 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 485,896 | Owns 3 property/properties (Total estimated value: PKR 211,398,811) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35204-3209258-4,Bilal Nawaz,Faisalabad,60,100,100,100,80,88.0,85.87283893233065,86.83,1,"Filer with declared annual income PKR 419,007 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 392,631 | Owns 3 property/properties (Total estimated value: PKR 230,920,688) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 4 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35209-6027180-2,Shahzaib Khan,Islamabad,60,100,100,100,80,88.0,85.61864649509734,86.69,1,"Filer with declared annual income PKR 268,748 | Owns 2 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 398,130 | Owns 2 property/properties (Total estimated value: PKR 217,486,946) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
35205-9449314-1,Tariq Akhtar,Lahore,60,100,100,100,80,88.0,85.61864649509734,86.69,1,"Filer with declared annual income PKR 282,194 | Owns 1 vehicle(s) (Max engine CC: 1800cc) | Monthly utility consumption: Max bill PKR 191,656 | Owns 3 property/properties (Total estimated value: PKR 161,754,366) | International travels logged: 1 flight(s) (1 Business/First class) | Entity Resolution Warning: 3 asset records registered under conflicting name variations (Benami risk) | Network Risk: Shares registered address with 281 other individuals | Community Risk: Shares property space with 91 unregistered non-filers"
